auka|active	zwiększyć
aðstoða|active	pomóc
aðstæður|noun	okoliczności
banna|active	zabronić
batna|active	polepszyć
bera|active	nieść
bifreið|noun	pojazd
biðja|active	poprosić
bjartviðri|noun	ładna pogoda
björgunarsveit|noun	jednostka ratunkowa
björgunarsveitarmaður|noun	ratownik
breyta|active	zmienić
breyting|noun	zmiana
brú|noun	most
byrja|active	zacząć
bátur|noun	łódź
bær|noun	zacząć
bæta|active	ulepszyć
bíll|noun	samochód
bíða|active	poczekać
búa|active	mieszkać
c|noun	c
dagur|noun	dzień
draga|active	pociągnąć
eiga|active	mieć
enda|active	zakończyć
endi|noun	koniec
falla|active	spaść
fara|active	jechać
farþegi|noun	pasażer
ferðaveður|noun	pogod sprzyjająca podróżom
festa|active	zapiąć
finna|active	znaleźć
fjalla|active	dyskutować
fjara|noun	odpływ
fjöldi|noun	ilość
fjúka|active	być zwiewanym
flugmaður|noun	pilot
flæða|active	zalewać
flóð|noun	powódź
frjókorn|noun	pyłek
frost|noun	mróz
fylgja|active	towarzyszyć
fá|active	otrzymać
fólk|noun	ludzie
föstudagur|noun	piątek
ganga|active	chodzić
gefa|active	dać
gera|active	robić
geta|active	móc
gráða|noun	stopień
hafa|active	posiadać
halda|active	trzymać
hefja|active	rozpocząć
helgi|noun	weekend
hiti|noun	temperatura
hlaupa|active	wylać
hlíð|noun	zbocze
hlýindi|noun	ciepła pogoda
hlýna|active	ocieplić się
hvassviðri|noun	wichura
hver|noun	źródło
hviða|noun	powiew wiatru
hálka|noun	gołoledź
hálkublettur|noun	oblodzenie
hámark|noun	maksimum
hækka|active	wzrastać
hætta|noun	zagrożenie
hættustig|noun	stopień zagrożenia
hópa|active	zgrupować
hús|noun	dom
janúar|noun	styczeń
jarðhitavirkni|noun	aktywność geometralna
jarðskjálfti|noun	trzęsienie ziemi
jeppi|noun	dżip
júní|noun	czerwiec
kalla|active	wołać
klukka|noun	zegar
km|noun	km
koma|active	przychodzić
krapi|noun	śnieg	mokry
kólna|active	ochłodzić się
land|noun	kraj
landshlutur|noun	częś kraju
laugardagur|noun	sobota
leggja|active	położyć
leit|noun	poszukiwania
leita|active	szukać
leitarmaður|noun	ratownik
leið|noun	droga
leiðni|noun	konduktancja
lenda|active	wylądować
liggja|active	leżeć
ljúka|active	skończyć
loka|active	zamknąć
láta|active	pozwolić
lægja|active	obniżyć
líkur|noun	prawdopodobieństwo
líta|active	spojrzeć
líða|active	czuć się
lögregla|noun	policja
m|noun	m
maður|noun	człowiek
metri|noun	metr
meðalhiti|noun	średnia temperatura
minnka|active	zmniejszyć
missa|active	stracić
miðvikudagur|noun	środa
mm|noun	mm
mynda|active	uformować
mánuður|noun	miesiąc
mæla|active	zmierzyć
mínúta|noun	minuta
norðanátt|noun	wiatr północny
ná|active	dostać
núll|noun	zero
rekja|active	śledzić
renna|active	spływać
rigna|active	padać
rigning|noun	deszcz
ryðja|active	oczyścić
ríða|active	jeździć konno
rúmmetri|noun	metr sześcienny
rýma|active	zwolnić
safna|active	zbierać
saka|active	oskarżyć
sekúnda|noun	sekunda
sjá|active	zobaczyć
skemmd|noun	szkoda
skip|noun	statek
skjálfti|noun	trzęsienie
skína|active	świecić
skúr|noun	ulewa
slasa|active	zranić
sleppa|active	uciec
slydda|active	opady deszczu ze śniegiem
slys|noun	wypadek
snjóa|active	padać
snjókoma|noun	opady śniegu
snjór|noun	śnieg
snjóþekja|noun	pokrywa śnieżna
snúa|active	obrócić
springa|active	wybuchnąć
spá|active	przepowiedzieć
standa|active	stać
staður|noun	miejsce
stig|noun	stopień
stjórn|noun	zarząd
stíga|active	wzrosnąć
sumar|noun	lato
svæði|noun	obszar
síðdegi|noun	popołudnie
síðdegisskúr|noun	popołudniowy silny deszcz
sól|noun	słońce
tilkynning|noun	ogłoszenie
tjón|noun	straty
tonn|noun	tona
tími|noun	czas
umferð|noun	ruch uliczny
valda|active	spowodować
vara|active	ostrzec
vaxa|active	urosnąć
vegur|noun	droga
velta|active	toczyć się
vera|active	być
verða|active	zostać
vestantil|noun	na zachodzie
veður|noun	pogoda
veðurfræðingur|noun	meteorolog
veðurhamur|noun	bardzo zła pogoda
veðurhorfur|noun	prognoza pogody
veðurspá|noun	prognoza pogody
veðurstofa|noun	instytut meteorologii
vika|noun	tydzień
vindstrengur|noun	powiew	wiatru
vindur|noun	wiatr
viðra|active	przewietrzyć
viðvörun|noun	ostrzeżenie
von|noun	nadzieja
væta|active	zmoczyć
væta|noun	wilgoć
á|noun	rzeka
ágúst|noun	sierpień
árekstur|noun	zderzenie
átt|noun	kierunek
éljagangur|noun	opady drobnego zmrożonego śniegu
íbúi|noun	mieszkaniec
íkveikja|noun	podpalenie
óveður|noun	niepogoda
ökumaður|noun	kierowca
úrkoma|noun	opady atmosferyczne
útlit|noun	wygląd
þyrla|active	zawirować
þyrla|noun	helikopter
þáttur|noun	czynnik
