auka|active	increase
aðstoða|active	help
aðstæður|noun	circumstances
banna|active	forbid
batna|active	improve
bera|active	carry
bifreiði|noun	car
biðja|active	ask
bjartviðrur|noun	clear weather
björgunarsveit|noun	rescue team
björgunarsveitarmaður|noun	rescuer
brattabrekka|noun	Brattabrekka
breyta|active	change
breyting|noun	change
brú|noun	bridge
byrja|active	start
bátur|noun	boat
bær|noun	town
bæta|active	improve
bíll|noun	car
bíða|active	wait
búa|active	live
c|noun	C
dagur|noun	day
draga|active	pull
eiga|active	own
enda|active	end
endi|noun	end
falla|active	fall
fara|active	go
farþegi|noun	passenger
ferðaveður|noun	travel weather
festa|active	fasten
finna|active	find
fjalla|active	discuss
fjara|noun	coast
fjöldi|noun	crowd
fjúka|active	blow away
flugmaður|noun	pilot
flæða|active	flood
flóð|noun	flood
frjókorn|noun	pollen
frjókorni|noun	pollen
frost|noun	frost
fylgja|active	follow
fá|active	get
fólk|noun	people
föstudagur|noun	Friday
ganga|active	walk
gefa|active	give
gera|active	do
geta|active	can
gráða|noun	degree
hafa|active	have
halda|active	hold
hefja|active	begin
helgi|noun	weekend
hiti|noun	temperature
hlaupa|active	run
hlíð|noun	slope
hlýindi|noun	warm weather
hlýna|active	get warm
hvassviðri|noun	storm wind
hver|noun	hot spring
hviða|noun	gust of wind
hálka|noun	slippery ice
hálkublettur|noun	slippery ice
hámark|noun	maximum
hækka|active	rise
hætta|noun	danger
hættustig|noun	danger level
hópa|active	crowd together
hús|noun	house
janúar|noun	January
jarðhitavirkni|noun	geothermal heat activity
jarðskjálfti|noun	earthquake
jeppi|noun	jeep
júní|noun	June
kalla|active	call
klukka|noun	clock
km|noun	km
koma|active	come
krapi|noun	slush
kólna|active	get colder
land|noun	land
landshlutur|noun	part of the country
laugardagur|noun	Saturday
leggja|active	lay
leit|noun	search
leita|active	search
leitarmaður|noun	searcher
leið|noun	way
leiðni|noun	conductance
lenda|active	land
liggja|active	lie
ljúka|active	finish
loka|active	close
láta|active	die
lægja|active	subside
líkur|noun	probability
líta|active	look
líða|active	pass
lögregla|noun	police
m|noun	m
maður|noun	man
metri|noun	m
meðalhiti|noun	average temperature
minnka|active	decrease
missa|active	lose
miðvikudagur|noun	Wednesday
mm|noun	mm
mynda|active	form
mánuður|noun	month
mæla|active	measure
mínúta|noun	minute
norðanátt|noun	north wind
ná|active	get
núll|noun	0
rekja|active	trace
renna|active	stream
reykjavík|noun	Reykjavík
rigna|active	rain
rigning|noun	rain
ryðja|active	clear
ríða|active	ride
rúmmetri|noun	cubic meter
rýma|active	vacate
safna|active	collect
saka|active	get hurt
sekúnda|noun	second
sjá|active	see
skemmd|noun	damage
skip|noun	ship
skjálfti|noun	earthquake
skína|active	shine
skúr|noun	rain shower
slasa|active	injure
sleppa|active	escape
slydda|active	sleet
slys|noun	accident
snjóa|active	snow
snjókoma|noun	snow
snjór|noun	snow
snjóþekja|noun	snow
snæfellsnes|noun	Snæfellsnes
snúa|active	turn
springa|active	explode
spá|active	forecast
standa|active	stand
staður|noun	place
stig|noun	degree
stjórn|noun	control
stíga|active	step
sumar|noun	summer
svæði|noun	area
síðdegi|noun	afternoon
síðdegisskúr|noun	afternoon rain shower
sól|noun	sun
tilkynning|noun	announcement
tjón|noun	damage
tonn|noun	ton
tími|noun	time
umferð|noun	traffic
valda|active	cause
vara|active	warn
vaxa|active	grow
vegur|noun	road
velta|active	roll
vera|active	be
verða|active	become
vestantil|noun	in the west
veður|noun	weather
veðurfræðingur|noun	meteorologist
veðurhamur|noun	bad weather
veðurhorfur|noun	weather outlook
veðurspá|noun	weather forecast
veðurstofa|noun	meteorological institute
vika|noun	week
vindstrengur|noun	blast of wind
vindur|noun	wind
viðra|active	be
viðvörun|noun	warning
von|noun	expectation
væta|active	rain
væta|noun	rain
á|noun	river
ágúst|noun	August
árekstur|noun	collision
átt|noun	direction
éljagangur|noun	hail
íbúi|noun	resident
íkveikja|noun	arson
ísland|noun	Iceland
óveður|noun	storm
ökumaður|noun	driver
úrkoma|noun	precipitation
útlit|noun	outlook
þyrla|active	whirl
þyrla|noun	helicopter
þáttur|noun	part
