apríl	April
asahláka	sudden thaw
aukning	increase
aurskriða	mudslide
aurskriður	mudslide
austanátt	east wind
austfirðingur	person from the Eastfjords
austurhelmingur	east half
austurhluti	east part
austurland	the East of Iceland
aðfangadagur	Christmas Eve
aðfaranótt	the night before
aðstandendur	relative
aðstæður	circumstances
bakki	bank
banaslys	fatal accident
beygja	turn
bifreið	car
bifreiði	car
birting	dawn
björgun	rescue
björgunarbátur	rescue boat
björgunarmaður	rescuer
björgunarsveit	rescue team
björgunarsveitarbíll	rescue car
björgunarsveitarmaður	rescuer
björgunarvesti	life vest
bleyta	wetness
blíðskaparveður	mild weather
blíðviðri	mild weather
borgarbúi	citizen
borgarstjóri	mayor
borð	aboard
botn	bottom
brekka	slope
brennisteinsmengun	sulphur pollution
brot	fracture
bruni	fire
bryggja	pier
bróðir	brother
brú	bridge
brún	edge
bsí	bus station
byggð	inhabited area
bylgja	wave
bylur	storm
bára	wave
bátur	boat
bæjarbúi	townsman
bæjarhlað	farmyard
bæjarstarfsmaður	town employee
bæjarstjóri	mayor
bær	town
bílastæði	parking lot
bíll	car
bílslys	car accident
bóndi	farmer
bústaður	residence
celsius	Celcius
dagsferð	day trip
dagur	day trip
dalur	valley
deildarstjóri	head of department
dembur	downpour
desember	December
djúp	depth
dropi	drop
drulla	mud
dráttarbíll	tow truck
eftirmiðdagur	afternoon
egilsstaðaflugvellur	airport of Egilsstaðir
eignatjón	property damage
einstaklingur	individual
eittleyti	around one o'clock
eldgos	volcano eruption
eldhaf	blaze
elding	lightning
eldsumbrot	volcanic activity
eldsvoði	blaze
eyja	island
eyjar	island
eyjaskeggi	islander
fannfergi	heavy snowstorm
farþegi	passenger
faðir	father
febrúar	February
ferðafólk	travelers
ferðalangur	traveler
ferðamaður	traveler
fimmleyti	around five o'clock
fimmtudagskvöld	Thursday night
fimmtudagsmorgunn	Thursday morning
fimmtudagur	Thursday
fjall	mountain
fjallvegur	mountain road
fjara	low tide
fjárhús	sheepshed
fjórðungur	quarter
fjölbýlishúsi	apartment building
fjölskylda	family
fjörður	fjord
flak	wreck
flug	flight
flugatvik	flight incident
flugbraut	runway
flugfélag	airline
flughæð	flight altitude
flugmaður	pilot
flugvél	airplane
flutningabíll	truck
flói	bay
flóð	flood
formaður	director
forráðamaður	custodian
forstjóri	director
forstöðumaður	director
framburður	deposit
framrúða	windshield
framtíð	future
framúrakstur	overtaking
frjókorn	pollen grain
