apríl	kwiecień
asahláka	gwałtowna odwilż
aukning	wzrost
aurskriða	lawina błotna
austanátt	wiatr wschodni
austfirðingur	mieszkaniec Fiordów Wschodnich
austurhelmingur	wschodnia połowa
austurhluti	wschodnia część
austurland	wschód kraju
aðfangadagur	wigilia Bożego Narodzenia
aðfaranótt	noc poprzedzająca
aðstandandi	krewny
aðstæður	okoliczności
bakki	brzeg
banaslys	wypadek śmiertelny
beygja	skręcić
bifreið	pojazd
birting	świt
björgun	ratowanie
björgunarbátur	łódź ratownicza
björgunarmaður	ratownik
björgunarsveit	jednostka ratunkowa
björgunarsveitarbíll	samochód jednostki ratunkowej
björgunarsveitarmaður	ratownik
björgunarvesti	kamizelka ratunkowa
bleyta	wilgoć
blíðskaparveður	bezwietrzna pogoda
blíðviðri	bezwietrzna pogoda
borgarbúi	mieszkaniec miasta
borgarstjóri	burmistrz
borð	stół
botn	dno
brekka	zbocze
brennisteinsmengun	zanieczyszczenie siarkowe
brot	ułamek
bruni	pożar
bryggja	pomost
bróðir	brat
brú	most
brún	krawędź
byggð	teren zamieszkały
bylgja	fala
bylur	zamieć
bára	fala
bátur	łódź
bæjarbúi	mieszkaniec miasta
bæjarhlað	podwórze
bæjarstarfsmaður	pracownik miasta
bæjarstjóri	mer miasta
bær	miasto
bílastæði	parking
bíll	samochód
bílslys	wypadek samochodowy
bóndi	gospodarz
bústaður	miejsce zamieszkania
celsius	Celsjusz
dagsferð	jednodniowa wycieczka
dagur	dzień
dalur	dolina
deildarstjóri	kierownik działu
dembur	ulewa
desember	grudzień
djúp	głębia
dropi	kropla
drulla	błoto
dráttarbíll	samochód pomocy drogowej
eftirmiðdagur	popołudnie
egilsstaðaflugvöllur	lotnisko w Egilsstaðir
eignatjón	szkoda na mieniu
einstaklingur	osoba
eittleyti	około godziny pierwszej
eldgos	wulkan
eldhaf	płomień
elding	błyskawica
eldsumbrot	aktywność wulkaniczna
eldsvoði	pożar
eyja	wyspa
eyjar	wyspy
eyjaskeggi	wyspiarz
fannfergi	burza śnieżna
farþegi	pasażer
faðir	ojciec
febrúar	luty
ferðafólk	podróżnicy
ferðalangur	podróżnik
ferðamaður	turysta
fimmleyti	około godziny piątej
fimmtudagskvöld	czwartkowy wieczór
fimmtudagsmorgunn	czwartkowy poranek
fimmtudagur	czwartek
fjall	góra
fjallvegur	droga górska
fjara	odpływ
fjárhús	owczarnia
fjórðungur	jedna czwarta
fjölbýlishús	dom wielorodzinny
fjölskylda	rodzina
fjörður	fiord
flak	wrak
flug	lot
flugatvik	incydent lotniczy
flugbraut	pas startowy
flugfélag	linie lotnicze
flughæð	wysokość lotu
flugmaður	pilot
flugvél	samolot
flutningabíll	samochód ciężarowy
flói	zatoka
flóð	powódź
formaður	kierownik
forráðamaður	opiekun prawny
forstjóri	dyrektor
forstöðumaður	przewodniczący
framburður	zeznanie
framrúða	przednia szyba
framtíð	przyszłość
framúrakstur	wyprzedzanie
frjókorn	pyłek
frjótala	liczba pyłków
frost	mróz
frostmark	temperatura zamarzania wody
fyrradagur	przedwczoraj
fyrrakvöld	przedwczoraj wieczorem
fyrramál	jutro rano
fyrravetur	ostania zima
fyrrinótt	przedwczorajsza noc
félagi	członek
félagsheimili	świetlica
fólk	ludzie
fólksbifreiðir	pojazdy osobowe
fólksbíll	samochód osobowy
fönn	zaspa
föstudagskvöld	piątkowy wieczór
föstudagur	piątek
gamlársdagur	Sylwester
gata	ulica
gatnamót	skrzyżowanie ulic
gestur	gość
geysissvæði	teren gejzerów
gil	parów
gosvirkni	aktywność wulkaniczna
grasfrjó	pyłk trawy
grindavíkurhöfn	port w Grindavik
grjót	odłamki skalne
grjóthrun	lawina kamienna
gráða	stopień
gær	wczoraj
gærdagur	wczorajszy dzień
gærkvöld	wczorajszy wieczór
gærmorgunn	wczorajszy poranek
gærnótt	wczorajsza noc
göng	tunel
göngufélagi	współwędrowiec
hafnarbakki	keja
hafnarfjarðarbær	miasto portowe
haust	jesień
haustveður	jesienna pogoda
heiði	płaskowyż
heyskapartíð	sianokosy
himinn	niebo
hitabylgja	fala upałów
hitamet	rekord temperatury
hitastig	wysokość temperatury
hiti	temperatura
hjálparsveit	jednostka pomocnicza
hlaup	przybór wody w rzece
hlaupastaður	miejsce przyboru wody w rzece
hlýindi	ciepła pogoda
hraun	lawa
hraungrýti	kamienie lawowe
hringvegur	droga wokół Islandii
hrun	krach
hryðja	szkwał
hríð	zamieć
hundadagar	kanikuła
hvassviðri	wichura
hver	gorące źródło
hviða	powiew wiatru
hvítasunna	Zielone Świątki
hvítasunnuhelgi	weekend zielonoświątkowy
hádegi	południe
hádegisbil	około południa
hálendi	wyżyna
hálftímipół	godziny
hálka	gołoledź
hæglætisveðri	piękna pogoda
hægviðri	ładna pogoda
hætta	przestać
hæð	wzgórze
hérað	powiat
hóll	wzgórek
hólmi	wysepka
hópur	grupa
höfn	port
höfuðborg	stolica
höfuðborgarbúi	mieszkaniec stolicy
höfuðborgarsvæði	okręg stołeczny
hús	dom
húseigandi	właściciel domu
húsnæði	lokum
innanlandsflug	lot krajowy
innsveit	wieś leżąca daleko od morza
janúar	styczeń
janúarmánuður	miesiąc styczeń
jarðeðlisfræðingur	geofizyk
jarðfræðingur	geolog
jarðskjálftakippur	wstrząs ziemi
jarðskjálfti	trzęsienie ziemi
jeppabifreið	pojazd terenowy
jeppamaður	właściciel dżipa
jeppi	dżip
jól	święta	Bożego Narodzenia
jólaveður	ładna pogoda na święta Bożego Narodzenia
jónsmessa	noc świętojańska
jökulhlaup	powódź glacjalna
jökull	lodowiec
jökulrönd	skraj lodowca
jökulsá	rzeka lodowcowa
jörð	ziemia
júlí	lipiec
júlímánuður	miesiąc lipiec
júní	czerwiec
júníhiti	czerwcowe upały
kafari	nurek
kaffileyti	pora podwieczorku
karlmaður	mężczyzna
keflavíkurflugvöllur	lotnisko w Keflaviku
kippur	wstrząs
klukka	zegar
klukkustund	godzina
klukkutími	godzina
km	km
kona	kobieta
kraftur	siła
krap	chlapa
krapaflóð	lawina śniegu mokrego
krapaflóðahætta	zagrożenie lawiną mokrego śniegu
krapaflóði	lawina mokrego śniegu
krapaskriða	osunięcie mokrego śniegu
krapi	mokry śnieg
kuldakast	nagłe oziębienie
kuldatíð	okres zimny
kuldi	zimno
kvöld	wieczór
kvöldmatarleyti	pora kolacji
kílómetri	kilometr
kötluhlaup	powódź glacjalna spod Katli
land	kraj
landgrunn	płycizna
landhelgisgæsla	straż przybrzeżna
landsbrot	wyrwa
landshluti	część kraju
landsmaður	krajan
landsvæði	obszar
langtímaspá	prognoza długoterminowa
langtímaveðurspá	długoterminowa prognoza pogody
laugardagskvöld	sobotni wieczór
laugardagsmorgunn	sobotni poranek
laugardagur	sobota
leitarhundur	pies poszukiwawczy
leitarhópur	grupa poszukiwawcza
leitarskilyrði	warunki poszukiwań
leitarstarf	działania poszukiwawcze
leitarsvæði	obszar poszukiwań
leiti	pagórek
leyti	pora
loft	powietrze
lofthiti	temperatura powietrza
loftslagsbreyting	zmiana klimatu
loftstraumur	prąd powietrza
láglendi	nizina
lægð	niż atmosferyczny
lækjarbakki	brzeg strumienia
lækur	strumień
lón	laguna
lögregla	policja
lögreglujeppi	dżip policyjny
lögreglumaður	policjant
lögreglustjóri	komendant policji
m	m
mars	marzec
marsmánuður	miesiąc marzec
maí	maj
maímánuður	miesiąc maj
maður	człowiek
meginland	stały ląd
mengun	zanieczyszczenie
methitirekordowa	temperatura
metri	metr
meðalhiti	średnia temperatura
meðallag	przeciętnia
meðaltal	średnia
meðalvindhraði	przeciętna prędkość wiatru
meðalvindur	średni wiatr
meðalár	przeciętny	 rok
millilandaflug	lot międzynarodowy
miðborg	centrum miasta
miðbær	centrum miasta
miðnætti	północ
miðvikudagskvöld	środowy wieczór
miðvikudagur	środa
mm	mm
morgundagur	jutro
morgunn	poranek
morgunsár	wczesny poranek
mánaðamót	przełom miesięcy
mánudagsmorgunn	poniedziałkowy poranek
mánudagur	poniedziałek
mánuður	miesiąc
mínúta	minuta
na-strönd	wybrzeże północno-wschodnie
norðanátt	wiatr północny
norðaustanátt	wiatr północno-wschodni
norðaustur-	północn wschód
norðausturhorn	ustronie północno-wschodnie
norðausturlandpółnocny	wschód kraju
norðurhluti	północna część
norðurland	północn kraju
norðurströnd	wybrzeże północne
norðvestanland	północny zachód kraju
norðvesturhluti	północno-zachodnia część
nágrenni	sąsiedztwo
nótt	noc
nóvember	listopad
ofanflóð	lawina
ofankoma	opady
ofsaveður	gwałtowna burza
október	październik
októbermánuður	miesiąc październik
pallbíll	pikap
páskahelgi	weekend wielkanocny
páskar	Wielkanoc
reykjavíkurflugvöllur	lotnisko w Reykjaviku
reykur	dym
reykvíkingur	mieszkaniec Reykjaviku
richter	Richter
rigning	deszcz
rofmáttur	siła erozji
rok	sztorm
ráðhústorg	plac ratuszowy
rúta	autokar
sekúnda	sekunda
september	wrzesień
septembermánuður	miesiąc wrzesień
sexleyti	około szóstej
sina	zwiędła trawa
sinubrunur	pożar trawy
sjómannadagur	dzień marynarza
sjór	morze
sjöleyti	około siódmej
sjúklingur	pacjent
sjúkrahús	szpital
skafl	zaspa śnieżna
skafrenningur	tumany śniegu
skemmd	szkoda
skip	statek
skipstjóri	kapitan statku
skipverji	członek załogi
skjálftahrina	fala trzęsień ziemi
skjálftamælir	sejsmograf
skjálftasvæði	obszar trzęsień ziemi
skjálftavirkni	aktywność sejsmiczna
skjálfti	trzęsienie
skotveiðimaður	myśliwy
skriða	osuwisko
skálavörður	pracownik schroniska górskiego
skáli	schronisko górskie
skógur	las
skúr	przelotny deszcz
slydduél	deszcz ze śniegiem
slys	wypadek
slysadeild	oddział urazowy
slysstaður	miejsce wypadku
slökkvilið	straż pożarna
slökkviliðsmaður	strażak
smáskjálfti	małe trzęsienie ziemi
snjóathugunarmaður	kontroler pokrywy śnieżnej
snjóflóð	lawina śnieżna
snjóflóðahætta	zagrożeni lawiną śnieżną
snjóflóðasvæði	strefa lawiny śnieżnej
snjókoma	opady śniegu
snjómælingamaður	kontroler pokrywy śnieżnej
snjór	śnieg
snjóþyngsli	hałda śniegu
sprenging	wybuch
sprunga	szczelina
sprunguveggur	rozpadlina
spá	prognoza
spákort	mapa prognozy pogody
starfsmaður	pracownik
staðsetning	położenia
staður	miejsce
stig	stopień
stjörnufræðingur	astronom
stormur	burza
strekkingsvindur	porywczy wiatr
strekkingur	silny wiatr
strengur	silny prąd
strætisvagn	autobus
strönd	wybrzeże
styrkur	siła
stærð	wielkość
stórgrýti	duże kamienie
stórhríðaveður	wietrzna pogoda
stórtjón	duże	szkody
stórviðri	nawałnica
stöð	stacja
sumar	lato
sumardagur	letni dzień
sumarfæri	przejezdność dróg latem
sumarveður	letnia pogoda
sunnanátt	wiatr południowy
sunnudagskvöld	niedzielny wieczór
sunnudagur	niedziela
suðausturland	południowy wschód kraju
suðausturströnd	wybrzeże południowo-wschodnie
suður	południe
suðurland	południe kraju
suðurleið	droga na południe
suðvestanátt	wiatr południowo-zachodni
suðvestur	południowy zachód
suðvesturhorn	ustronie południowo-zachodnie
suðvesturland	południowy wschód kraju
sveit	wieś
sveitarfélag	gmina
sveitarstjóri	sołtys
svæði	obszar
sær	morze
síðdegi	popołudnie
síðdegisskúr	popołudniowy silny deszcz
sól	słońce
sólarglennaprzebłysk	słońca
sólarglæta	poświata	słońca
sólarhringur	doba
sólbaðsveður	pogoda na opalanie
sólskin	blask	słońca
sólskinsstund	słoneczna pogoda
súld	mżawka
tilfelli	przypadek
tilkynning	ogłoszenie
tilvik	zdarzenie
tindur	szczyt
tjaldgestur	turysta z namiotem
tjónamat	szacowanie szkód
tjörn	staw
togari	trawler
toppur	wierzchołek
tvöleyti	około drugiej
tímabil	okres
tími	czas
tíuleyti	około dziesiątej
tíðarfar	warunki pogodowe
tún	łąka
umbrot	nieprzejezdność dróg
umferðruch	uliczny
umferðarslys	wypadek samochodowy
umferðaróhapp	wypadek samochodowy
umhverfi	otoczenie
uppsveit	zabudowa z dala od morza
vagn	wóz
vald	władza
varnarlið	obrona cywilna
varðstjóri	oficer dyżurny
vatn	moda
vatnavöxtur	wezbranie
vatnsflaumur	ulewa
vegagerðarmaður	pracownik drogowy
vegfarandi	pieszy
vegur	droga
velta	obracać
verslunarmannahelgi	weekend dnia handlowca
vestfirðir	Fiordy Zachodnie
vesturbær	zachodnia część miasta
vesturland	zachód kraju
vetrarlag	zimą
vettvangur	pole
vetur	zima
veður	pogoda
veðurblíða	ładna bezwietrzna pogoda
veðurfar	klimat
veðurfarslýsing	charakterystyka klimatu
veðurfræði	meteorologia
veðurfræðingur	meteorolog
veðurhamur	bardzo zła pogoda
veðurhæð	wichura
veðurkort	mapa pogody
veðurlag	warunki pogodowe
veðurofsi	huk
veðurskilyrði	warunki pogodowe
veðurspá	prognoza pogody
veðurstofa	instytut meteorologii
veðurstofustjóri	dyrektor instytutu meteorologii
vika	tydzień
vindhraði	prędkość wiatru
vindhviða	silny powiew wiatru
vindstyrkur	siła wiatru
vindur	wiatr
virkni	aktywność
viðmælandi	rozmówca
viðvörun	ostrzeżenie
viðvörunarskilti	znak ostrzegawczy
von	nadzieja
vonskuveður	zła pogoda
vor	wiosna
væta	wilgoć
vöruflutningabíll	samochód dostawczy
vöruflutningaflug	lot transportowy
yfirlögregluþjónn	naczelnik policji
yfirmaður	przełożony
á	rzeka
ábúandi	dzierżawca
áfallahjálp	interwencja kryzysowa
áfangastaður	miejsce docelowe
ágúst	sierpień
ágústmánuður	miesiąc sierpień
áhöfn	załoga
ár	rok
árekstur	zderzenie
árstími	pora roku
árstíð	pora roku
átakaveður	zła pogoda
átt	kierunek
él	siekący drobny
íbúi	mieszkaniec
íbúð	mieszkanie
íkveikja	podpalenie
ís	lód
ísing	oblodzenie
ísland	Islandia
íslendingur	Islandczyk
ófærð	nieprzejezdność dróg
óhapp	nieszczęście
ókyrrð	niepokój
ólafsvíkurkirkja	kościół w Olafsviku
óróahviða	silny powiew wiatru
óveður	niepogoda
óviðri	niepogoda
ökumaður	kierowca
ökutæki	pojazd
önn	semestr
öskudagur	Środa Popielcowa
öskufall	opady popiołu
úrfelli	ulewa
úrhelli	ulewa
úrkoma	opady
þjóðhátíðardagur	święto narodowe
þjóðvegur	droga krajowa
þoka	mgła
þokuloft	mgliste powietrze
þorri	większość
þriðjudagskvöld	wtorkowy wieczór
þriðjudagur	wtorek
þrjúleyti	około godziny trzeciej
þruma	grzmot
þrýstingur	ciśnienie
þykkt	grubość
þyrla	helikopter
