auka|active	auka
aðstoða|active	aðstoða
aðstæður|noun	aðstæður
banna|active	banna
batna|active	batna
bera|active	bera
bifreiði|noun	bifreiði
biðja|active	biðja
bjartviðrur|noun	bjartviðrur
björgunarsveit|noun	björgunarsveit
björgunarsveitarmaður|noun	björgunarsveitarmaður
brattabrekka|noun	brattabrekka
breyta|active	breyta
breyting|noun	breyting
brú|noun	brú
byrja|active	byrja
bátur|noun	bátur
bær|noun	bær
bæta|active	bæta
bíll|noun	bíll
bíða|active	bíða
búa|active	búa
c|noun	c
dagur|noun	dagur
draga|active	draga
eiga|active	eiga
enda|active	enda
endi|noun	endi
falla|active	falla
fara|active	fara
farþegi|noun	farþegi
ferðaveður|noun	ferðaveður
festa|active	festa
finna|active	finna
fjalla|active	fjalla
fjara|noun	fjara
fjöldi|noun	fjöldi
fjúka|active	fjúka
flugmaður|noun	flugmaður
flæða|active	flæða
flóð|noun	flóð
frjókorn|noun	frjókorn
frjókorni|noun	frjókorni
frost|noun	frost
fylgja|active	fylgja
fá|active	fá
fólk|noun	fólk
föstudagur|noun	föstudagur
ganga|active	ganga
gefa|active	gefa
gera|active	gera
geta|active	geta
gráða|noun	gráða
hafa|active	hafa
halda|active	halda
hefja|active	hefja
helgi|noun	helgi
hiti|noun	hiti
hlaupa|active	hlaupa
hlíð|noun	hlíð
hlýindi|noun	hlýindi
hlýna|active	hlýna
hvassviðri|noun	hvassviðri
hver|noun	hver
hviða|noun	hviða
hálka|noun	hálka
hálkublettur|noun	hálkublettur
hámark|noun	hámark
hækka|active	hækka
hætta|noun	hætta
hættustig|noun	hættustig
hópa|active	hópa
hús|noun	hús
janúar|noun	janúar
jarðhitavirkni|noun	jarðhitavirkni
jarðskjálfti|noun	jarðskjálfti
jeppi|noun	jeppi
júní|noun	júní
kalla|active	kalla
klukka|noun	klukka
km|noun	km
koma|active	koma
krapi|noun	krapi
kólna|active	kólna
land|noun	land
landshlutur|noun	landshlutur
laugardagur|noun	laugardagur
leggja|active	leggja
leit|noun	leit
leita|active	leita
leitarmaður|noun	leitarmaður
leið|noun	leið
leiðni|noun	leiðni
lenda|active	lenda
liggja|active	liggja
ljúka|active	ljúka
loka|active	loka
láta|active	láta
lægja|active	lægja
líkur|noun	líkur
líta|active	líta
líða|active	líða
lögregla|noun	lögregla
m|noun	m
maður|noun	maður
metri|noun	metri
meðalhiti|noun	meðalhiti
minnka|active	minnka
missa|active	missa
miðvikudagur|noun	miðvikudagur
mm|noun	mm
mynda|active	mynda
mánuður|noun	mánuður
mæla|active	mæla
mínúta|noun	mínúta
norðanátt|noun	norðanátt
ná|active	ná
núll|noun	núll
rekja|active	rekja
renna|active	renna
reykjavík|noun	reykjavík
rigna|active	rigna
rigning|noun	rigning
ryðja|active	ryðja
ríða|active	ríða
rúmmetri|noun	rúmmetri
rýma|active	rýma
safna|active	safna
saka|active	saka
sekúnda|noun	sekúnda
sjá|active	sjá
skemmd|noun	skemmd
skip|noun	skip
skjálfti|noun	skjálfti
skína|active	skína
skúr|noun	skúr
slasa|active	slasa
sleppa|active	sleppa
slydda|active	slydda
slys|noun	slys
snjóa|active	snjóa
snjókoma|noun	snjókoma
snjór|noun	snjór
snjóþekja|noun	snjóþekja
snæfellsnes|noun	snæfellsnes
snúa|active	snúa
springa|active	springa
spá|active	spá
standa|active	standa
staður|noun	staður
stig|noun	stig
stjórn|noun	stjórn
stíga|active	stíga
sumar|noun	sumar
svæði|noun	svæði
síðdegi|noun	síðdegi
síðdegisskúr|noun	síðdegisskúr
sól|noun	sól
tilkynning|noun	tilkynning
tjón|noun	tjón
tonn|noun	tonn
tími|noun	tími
umferð|noun	umferð
valda|active	valda
vara|active	vara
vaxa|active	vaxa
vegur|noun	vegur
velta|active	velta
vera|active	vera
verða|active	verða
vestantil|noun	vestantil
veður|noun	veður
veðurfræðingur|noun	veðurfræðingur
veðurhamur|noun	veðurhamur
veðurhorfur|noun	veðurhorfur
veðurspá|noun	veðurspá
veðurstofa|noun	veðurstofa
vika|noun	vika
vindstrengur|noun	vindstrengur
vindur|noun	vindur
viðra|active	viðra
viðvörun|noun	viðvörun
von|noun	von
væta|active	væta
væta|noun	væta
á|noun	á
ágúst|noun	ágúst
árekstur|noun	árekstur
átt|noun	átt
éljagangur|noun	éljagangur
íbúi|noun	íbúi
íkveikja|noun	íkveikja
ísland|noun	ísland
óveður|noun	óveður
ökumaður|noun	ökumaður
úrkoma|noun	úrkoma
útlit|noun	útlit
þyrla|active	þyrla
þyrla|noun	þyrla
þáttur|noun	þáttur
